id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MOB1A	3	0.67329	0.4379	0.750297	13186	1	0.7317	0.043218	0.17005	1.0	2873	2	0.7317
JAK2	3	0.67335	0.4379	0.750297	13187	1	0.50329	0.13342	0.33823	1.0	5408	2	0.50329
AP1B1	3	0.67337	0.4379	0.750297	13188	1	0.16209	0.29659	0.58087	1.0	9329	1	0.16209
HCAR3	3	0.67341	0.4379	0.750297	13189	1	-0.27296	0.63808	0.76632	1.0	13229	1	-0.27296
STARD8	3	0.67343	0.4379	0.750297	13190	1	0.33107	0.28465	0.57005	1.0	9027	2	0.33107
RNF114	3	0.67353	0.4379	0.750297	13191	1	-0.27758	0.81311	0.90828	1.0	16285	0	-0.27758
HELZ2	3	0.67364	0.4379	0.750297	13192	1	-0.09472	0.69491	0.81783	1.0	14083	1	-0.09472
XKR5	3	0.6737	0.4379	0.750297	13193	1	0.20112	0.16438	0.37531	1.0	6185	1	0.20112
MIR1282	1	0.67377	0.57142	0.859502	13194	0	0.36149	0.32623	0.42858	1.0	9699	1	0.36149
Pseudogene_726	3	0.67382	0.4388	0.751661	13195	1	0.33158	0.2238	0.47422	1.0	7559	2	0.33158
Pseudogene_771	3	0.67382	0.4388	0.751661	13196	1	0.3772	0.21285	0.45407	1.0	7312	2	0.3772
Pseudogene_368	3	0.67382	0.4388	0.751661	13197	1	0.50392	0.035759	0.13644	1.0	2490	2	0.50392
ACOX3	3	0.67389	0.43969	0.75245	13198	1	-0.26126	0.76711	0.87592	1.0	15348	0	-0.26126
DEFA4	3	0.67403	0.43969	0.75245	13199	1	0.29587	0.08577	0.24745	1.0	4170	2	0.29587
UBE2G2	3	0.67424	0.43969	0.75245	13200	1	-0.30534	0.67552	0.80032	1.0	13770	1	-0.30534
SPANXN5	3	0.67426	0.43969	0.75245	13201	1	0.15762	0.25754	0.52925	1.0	8394	1	0.15762
NR4A3	3	0.67436	0.43969	0.75245	13202	1	0.26042	0.12273	0.32206	1.0	5141	2	0.26042
B4GALT4	3	0.67438	0.43969	0.75245	13203	1	0.0035181	0.79365	0.89478	1.0	15875	0	0.0035181
LY6D	3	0.67442	0.43969	0.75245	13204	1	0.46651	0.22666	0.4789	1.0	7628	2	0.46651
STARD9	3	0.67453	0.43969	0.75245	13205	1	0.35647	0.246	0.51967	1.0	8114	2	0.35647
F2R	3	0.67455	0.43969	0.75245	13206	1	-0.21637	0.32735	0.5936	1.0	9712	1	-0.21637
DEFB114	3	0.67459	0.43969	0.75245	13207	1	0.082184	0.39024	0.61858	1.0	10351	1	0.082184
ABI3BP	3	0.67463	0.43969	0.75245	13208	1	-0.2037	0.58461	0.72938	1.0	12495	1	-0.2037
ZNF630	3	0.67467	0.43969	0.75245	13209	1	0.77214	0.028467	0.1142	1.0	2051	2	0.77214
Pseudogene_912	3	0.67472	0.44061	0.753106	13210	1	-0.28135	0.876	0.94601	1.0	17564	0	-0.28135
Pseudogene_201	3	0.67472	0.44061	0.753106	13211	1	0.027489	0.78981	0.89062	1.0	15802	0	0.027489
Pseudogene_484	3	0.67472	0.44061	0.753106	13212	1	0.22418	0.2835	0.5695	1.0	8997	2	0.22418
ZNF669	3	0.67477	0.44152	0.753106	13213	1	0.25856	0.70421	0.82063	1.0	14232	1	0.25856
SLCO5A1	3	0.67479	0.44152	0.753106	13214	1	0.7226	0.031218	0.12329	1.0	2229	2	0.7226
EDA2R	3	0.67482	0.44152	0.753106	13215	1	0.15398	0.58616	0.73032	1.0	12520	1	0.15398
HYCC1	3	0.6749	0.44152	0.753106	13216	1	-0.052503	0.059028	0.20826	1.0	3458	1	-0.052503
UHRF2	3	0.67492	0.44152	0.753106	13217	1	0.13916	0.19831	0.42598	1.0	6962	1	0.13916
ENSG00000203546	3	0.67499	0.44152	0.753106	13218	1	0.56507	0.14464	0.35182	1.0	5723	2	0.56507
FAM81B	3	0.67504	0.44152	0.753106	13219	1	-0.086233	0.82643	0.91368	1.0	16547	0	-0.086233
GABRA2	3	0.67506	0.44152	0.753106	13220	1	0.2484	0.19928	0.42821	1.0	6982	2	0.2484
RBP5	3	0.6751	0.44152	0.753106	13221	1	-0.18172	0.68469	0.81321	1.0	13914	1	-0.18172
COL16A1	3	0.67517	0.44152	0.753106	13222	1	0.07047	0.54907	0.71628	1.0	12031	1	0.07047
OGFRL1	3	0.67519	0.44152	0.753106	13223	1	0.0023986	0.54943	0.71628	1.0	12035	1	0.0023986
PLGRKT	3	0.67521	0.44152	0.753106	13224	1	-0.25196	0.80873	0.90556	1.0	16191	0	-0.25196
ADAMTS3	3	0.67527	0.44152	0.753106	13225	1	-0.21275	0.85667	0.93613	1.0	17158	0	-0.21275
PRPS1L1	3	0.67529	0.44152	0.753106	13226	1	-0.066627	0.21265	0.45358	1.0	7303	1	-0.066627
SLC7A2	3	0.67531	0.44152	0.753106	13227	1	-0.14414	0.64614	0.77184	1.0	13338	1	-0.14414
H1-0	3	0.67537	0.44152	0.753106	13228	1	-0.097765	0.80442	0.90351	1.0	16094	0	-0.097765
GLIPR1L1	3	0.67539	0.44152	0.753106	13229	1	-0.13129	0.10431	0.28537	1.0	4664	1	-0.13129
VANGL2	3	0.67548	0.44152	0.753106	13230	1	-0.15137	0.90543	0.96267	1.0	18172	0	-0.15137
MPIG6B	3	0.6755	0.44152	0.753106	13231	1	0.37093	0.050576	0.18563	1.0	3227	2	0.37093
STRADA	3	0.67554	0.44152	0.753106	13232	1	-0.10469	0.82686	0.91432	1.0	16557	0	-0.10469
ATG2A	3	0.67558	0.44152	0.753106	13233	1	0.037898	0.82048	0.91168	1.0	16421	0	0.037898
SBSPON	3	0.6756	0.44152	0.753106	13234	1	0.37687	0.20738	0.44183	1.0	7167	2	0.37687
APTX	3	0.67564	0.44152	0.753106	13235	1	0.065189	0.77056	0.87674	1.0	15419	0	0.065189
OVCH2	3	0.67566	0.44152	0.753106	13236	1	0.31212	0.27581	0.56242	1.0	8820	2	0.31212
SLC25A30	3	0.67568	0.44152	0.753106	13237	1	0.099637	0.35413	0.6047	1.0	9974	1	0.099637
SETDB1	3	0.67576	0.44152	0.753106	13238	1	-0.23466	0.64491	0.77085	1.0	13322	1	-0.23466
C2orf92	3	0.67585	0.44152	0.753106	13239	1	-0.12625	0.68032	0.8086	1.0	13842	1	-0.12625
AWAT2	3	0.67587	0.44152	0.753106	13240	1	0.34241	0.24046	0.51327	1.0	7975	2	0.34241
DOK1	3	0.67591	0.44152	0.753106	13241	1	0.1414	0.68787	0.81415	1.0	13966	1	0.1414
DCDC2B	3	0.67595	0.44152	0.753106	13242	1	0.24874	0.27715	0.5635	1.0	8856	2	0.24874
CMIP	3	0.67603	0.44152	0.753106	13243	1	0.0011842	0.37613	0.61114	1.0	10183	1	0.0011842
DEPTOR-AS1	1	0.67606	0.57254	0.860385	13244	0	0.26988	0.32394	0.42746	1.0	9679	1	0.26988
RTN4RL2	3	0.67607	0.44152	0.753106	13245	1	-0.32453	0.82542	0.91302	1.0	16530	0	-0.32453
ROGDI	3	0.67616	0.44152	0.753106	13246	1	-0.017822	0.67463	0.80032	1.0	13765	1	-0.017822
LOC124900855	3	0.67618	0.44152	0.753106	13247	1	0.43127	0.034459	0.13479	1.0	2409	2	0.43127
PLAC8	3	0.6762	0.44152	0.753106	13248	1	0.44571	0.16529	0.37851	1.0	6205	2	0.44571
CANX	3	0.67626	0.44152	0.753106	13249	1	-0.0088861	0.76178	0.87001	1.0	15243	0	-0.0088861
Pseudogene_597	3	0.67632	0.44242	0.754242	13250	1	0.51667	0.13091	0.33544	1.0	5355	2	0.51667
Pseudogene_364	3	0.67632	0.44242	0.754242	13251	1	-0.17395	0.45536	0.65594	1.0	11003	1	-0.17395
SLC9C1	3	0.67636	0.44332	0.755632	13252	1	0.04824	0.11156	0.30018	1.0	4842	1	0.04824
Pseudogene_624	3	0.67639	0.44421	0.75706	13253	1	-0.19692	0.037675	0.14233	1.0	2596	1	-0.19692
ATP1B3	3	0.67644	0.4451	0.758283	13254	1	0.81094	0.011732	0.052565	1.0	989	2	0.81094
SDR42E2	3	0.67646	0.4451	0.758283	13255	1	0.28662	0.26485	0.54196	1.0	8572	2	0.28662
TAPBPL	6	0.67647	0.46398	0.774944	13256	2	0.13417	0.36801	0.75468	1.0	10106	3	0.13417
Pseudogene_310	3	0.67652	0.44598	0.759461	13257	1	0.14209	0.53107	0.70557	1.0	11816	1	0.14209
Pseudogene_909	3	0.67652	0.44598	0.759461	13258	1	-0.14039	0.89156	0.95415	1.0	17886	0	-0.14039
KPLCE	3	0.67663	0.44686	0.759461	13259	1	-0.23883	0.82397	0.91236	1.0	16497	0	-0.23883
LGI3	3	0.67665	0.44686	0.759461	13260	1	0.58593	0.075284	0.23529	1.0	3888	2	0.58593
LOC124902325	3	0.67673	0.44686	0.759461	13261	1	-0.084841	0.55414	0.71813	1.0	12087	1	-0.084841
ZC3HAV1	3	0.67675	0.44686	0.759461	13262	1	-0.032851	0.20342	0.43504	1.0	7074	1	-0.032851
SLC5A2	3	0.67677	0.44686	0.759461	13263	1	0.023047	0.50959	0.68758	1.0	11574	1	0.023047
CACNB3	3	0.67679	0.44686	0.759461	13264	1	-0.18332	0.70487	0.82158	1.0	14242	1	-0.18332
DEFB116	3	0.67683	0.44686	0.759461	13265	1	-0.2254	0.50017	0.68032	1.0	11474	1	-0.2254
LRRC4C	3	0.67685	0.44686	0.759461	13266	1	0.28219	0.27004	0.55167	1.0	8696	2	0.28219
COL9A2	3	0.67688	0.44686	0.759461	13267	1	0.51218	0.11086	0.29778	1.0	4828	2	0.51218
IL6	3	0.6769	0.44686	0.759461	13268	1	0.30624	0.29621	0.58087	1.0	9321	2	0.30624
GLI3	3	0.67696	0.44686	0.759461	13269	1	0.39074	0.19847	0.42692	1.0	6967	2	0.39074
LMO1	3	0.67698	0.44686	0.759461	13270	1	-0.19116	0.0082507	0.030217	0.941839	725	1	-0.19116
NTSR1	3	0.677	0.44686	0.759461	13271	1	0.086009	0.56708	0.72283	1.0	12249	1	0.086009
USF3	3	0.67716	0.44686	0.759461	13272	1	-0.20354	0.86432	0.94028	1.0	17329	0	-0.20354
TLR6	3	0.67718	0.44686	0.759461	13273	1	0.41761	0.15139	0.35356	1.0	5877	2	0.41761
ARMCX6	3	0.6772	0.44686	0.759461	13274	1	0.5148	0.091579	0.26249	1.0	4309	2	0.5148
