id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Myadm	20	0.0053521	0.037072	0.772666	136	14	-4.3167	0.80346	0.75275	0.953615	2260	0	-4.3167
Htr4	20	0.0054149	0.037506	0.772666	137	11	-3.8389	0.74465	0.68627	0.936914	2089	0	-3.8389
Cckbr	20	0.0054647	0.037718	0.772666	138	9	-3.8109	0.46725	0.4128	0.890629	1305	0	-3.8109
Mfsd12	20	0.0054716	0.037849	0.772666	139	13	-4.054	0.46725	0.4128	0.890629	1306	0	-4.054
Tnfrsf8	20	0.0055018	0.038161	0.773497	140	12	-4.1006	0.40133	0.36279	0.890629	1132	0	-4.1006
Tspan15	20	0.0055761	0.038431	0.773497	141	11	-3.9416	0.98984	0.98343	0.995265	2823	0	-3.9416
Gabrb3	18	0.0056899	0.037557	0.772666	142	14	-4.1294	0.95713	0.94071	0.99197	2707	0	-4.1294
Chrne	20	0.0058023	0.040105	0.794868	143	11	-4.0861	0.9399	0.91931	0.986997	2662	0	-4.0861
Slc13a4	20	0.0058274	0.04017	0.794868	144	14	-4.4248	0.99932	0.9989	0.99965	2854	0	-4.4248
Slamf7	20	0.0059307	0.040948	0.794868	145	12	-4.4336	0.81943	0.77728	0.963766	2303	0	-4.4336
Slc6a16	20	0.0059669	0.041024	0.794868	146	7	-3.3622	0.41186	0.36792	0.890629	1167	0	-3.3622
S1pr5	20	0.0059756	0.041282	0.794868	147	14	-4.3609	0.73924	0.67894	0.936914	2068	0	-4.3609
Olfr294	20	0.0061328	0.042135	0.794868	148	8	-3.5424	0.31425	0.30629	0.890629	877	0	-3.5424
Pkd1l2	20	0.0061824	0.042554	0.794868	149	9	-3.7423	0.91889	0.88987	0.979679	2593	0	-3.7423
Cdh18	20	0.0062455	0.04272	0.794868	150	10	-3.743	0.23091	0.2313	0.890629	651	0	-3.743
Susd5	20	0.006257	0.042829	0.794868	151	15	-4.3857	0.88605	0.84989	0.97237	2491	0	-4.3857
Ly6g6c	20	0.0063025	0.043001	0.794868	152	15	-4.1961	0.74465	0.68627	0.936914	2078	0	-4.1961
Cd177	20	0.0063312	0.04316	0.794868	153	12	-3.913	0.61768	0.54669	0.912635	1711	0	-3.913
Sppl2b	20	0.0064633	0.043898	0.794868	154	9	-3.8052	0.11	0.10842	0.890629	301	0	-3.8052
Pkdrej	17	0.0065836	0.043001	0.794868	155	11	-4.4839	0.94445	0.92532	0.988044	2673	0	-4.4839
Treml2	20	0.0066084	0.044813	0.805498	156	12	-4.0744	0.42271	0.3756	0.890629	1198	0	-4.0744
Gp1bb	18	0.0067112	0.043638	0.794868	157	9	-3.8709	0.68209	0.62396	0.920871	1894	0	-3.8709
Lrp5	20	0.0067141	0.045353	0.807267	158	12	-4.1681	0.46725	0.4128	0.890629	1307	0	-4.1681
Slc31a1	18	0.0067254	0.043739	0.794868	159	10	-4.2381	0.21045	0.2111	0.890629	589	0	-4.2381
Thsd7b	20	0.0067937	0.045758	0.807267	160	11	-4.0498	0.77522	0.7199	0.945838	2168	0	-4.0498
Spns2	17	0.0068183	0.043943	0.794868	161	8	-3.5524	0.09431	0.093829	0.890629	259	0	-3.5524
Htr7	20	0.0069409	0.046475	0.812784	162	7	-3.6486	0.41186	0.36792	0.890629	1155	0	-3.6486
Olfr1221	20	0.0070979	0.047142	0.812784	163	15	-4.0822	0.77522	0.7199	0.945838	2176	0	-4.0822
Slc2a10	20	0.0071389	0.047307	0.812784	164	11	-3.9697	0.78193	0.73106	0.945838	2210	0	-3.9697
Nalcn	20	0.0071548	0.047373	0.812784	165	11	-3.9771	0.0051408	0.0041	0.455255	15	0	-3.9771
