id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Olfr177	20	0.38084	0.78929	1.0	2172	11	-3.9083	0.88588	0.84568	0.964081	2499	0	-3.9083
Thsd7a	20	0.38084	0.78929	1.0	2173	11	-3.9061	0.10717	0.089726	0.803873	301	0	-3.9061
Olfr514	20	0.38084	0.78929	1.0	2174	11	-3.9068	0.81946	0.768	0.949373	2314	0	-3.9068
Gpr82	20	0.38084	0.78929	1.0	2175	11	-3.9332	0.69267	0.61215	0.899961	1948	0	-3.9332
Cd200r2	17	0.38132	0.77112	1.0	2176	9	-3.8623	0.84196	0.79602	0.952925	2372	0	-3.8623
Olfr331	19	0.38156	0.78631	1.0	2177	5	-3.2057	0.56485	0.50239	0.893438	1591	0	-3.2057
Plxnc1	20	0.38271	0.79055	1.0	2178	9	-3.5982	0.5005	0.42702	0.86643	1408	0	-3.5982
Slitrk6	20	0.38314	0.79062	1.0	2179	7	-3.4646	0.4756	0.40662	0.864664	1331	0	-3.4646
Gabrg1	20	0.38416	0.79176	1.0	2180	11	-3.9347	0.013708	0.0098282	0.592062	41	0	-3.9347
Chrm4	19	0.3846	0.78807	1.0	2181	10	-3.8287	0.95409	0.93719	0.987576	2709	0	-3.8287
Ifnar1	20	0.38492	0.79248	1.0	2182	11	-3.9137	0.81372	0.75798	0.944334	2293	0	-3.9137
Trp53i13	20	0.38492	0.79248	1.0	2183	11	-3.8963	0.36478	0.32315	0.859701	1050	0	-3.8963
Lysmd3	20	0.38511	0.79324	1.0	2184	10	-3.74	0.5005	0.42702	0.86643	1398	0	-3.74
Tm9sf2	20	0.38511	0.79324	1.0	2185	9	-3.5712	0.40286	0.35196	0.859701	1155	0	-3.5712
Lypd5	18	0.38521	0.78198	1.0	2186	8	-3.7124	0.55214	0.48896	0.893438	1549	0	-3.7124
Vsig10l	19	0.38549	0.78847	1.0	2187	9	-3.845	0.17632	0.17053	0.859701	493	0	-3.845
Prnd	5	0.38589	0.63222	1.0	2188	3	-4.0147	0.57511	0.53413	0.893438	1623	0	-4.0147
C5ar1	20	0.38708	0.79545	1.0	2189	7	-3.7025	0.45989	0.39802	0.864664	1308	0	-3.7025
Olfr699	20	0.38744	0.79546	1.0	2190	9	-3.8331	0.99053	0.98424	0.995027	2827	0	-3.8331
Igdcc4	20	0.38783	0.79549	1.0	2191	11	-3.8969	0.50623	0.4329	0.86643	1418	0	-3.8969
Mr1	20	0.38783	0.79549	1.0	2192	11	-3.8084	0.023505	0.019603	0.691901	72	0	-3.8084
Gpr35	20	0.38783	0.79549	1.0	2193	11	-3.8809	0.77453	0.70948	0.929989	2180	0	-3.8809
Olfr1509	20	0.38783	0.79549	1.0	2194	11	-3.7343	0.14591	0.14675	0.859701	415	0	-3.7343
Lrrc52	20	0.38857	0.79665	1.0	2195	10	-3.9232	0.96518	0.95095	0.98923	2744	0	-3.9232
