id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ly6k	20	0.078226	0.31488	0.952525	931	9	-3.697	0.63738	0.56966	0.90617	1768	0	-3.697
P2rx1	20	0.078264	0.31512	0.952525	932	13	-4.206	0.87306	0.83698	0.971189	2450	0	-4.206
Ly75	20	0.078456	0.31572	0.952525	933	13	-4.1546	0.31911	0.30329	0.882295	910	0	-4.1546
Tmem63c	20	0.080071	0.3193	0.952525	934	12	-4.0184	0.87693	0.84092	0.971189	2469	0	-4.0184
Pcdh12	20	0.080262	0.31944	0.952525	935	11	-4.0152	0.27291	0.27495	0.882295	761	0	-4.0152
Gm42957	18	0.080454	0.31207	0.952525	936	10	-4.0984	0.37502	0.3303	0.882295	1066	0	-4.0984
Folr2	20	0.080537	0.31959	0.952525	937	11	-3.9189	0.7154	0.65321	0.929375	2004	0	-3.9189
Slc2a6	20	0.080552	0.31972	0.952525	938	8	-3.6211	0.88331	0.84682	0.971189	2493	0	-3.6211
Oprd1	20	0.080556	0.32001	0.952525	939	9	-3.7182	0.3961	0.35467	0.882295	1130	0	-3.7182
Gpr153	20	0.080685	0.32042	0.952525	940	9	-3.7811	0.88651	0.8512	0.971537	2504	0	-3.7811
Otoa	19	0.080697	0.32249	0.952525	941	8	-3.7069	0.22274	0.22495	0.882295	617	0	-3.7069
Psca	20	0.080813	0.32084	0.952525	942	11	-4.0961	0.48453	0.42352	0.891333	1350	0	-4.0961
Gpr1	19	0.08089	0.32309	0.952525	943	12	-4.149	0.22274	0.22495	0.882295	618	0	-4.149
Fcgr3	20	0.081337	0.32366	0.952525	944	11	-4.2212	0.051241	0.046768	0.873617	152	0	-4.2212
Ackr1	20	0.081429	0.32386	0.952525	945	12	-4.1898	0.92214	0.89518	0.97874	2608	0	-4.1898
Pilrb1	20	0.081605	0.32501	0.952525	946	8	-3.7121	0.19706	0.1972	0.882295	550	0	-3.7121
Aqp5	20	0.081912	0.32543	0.952525	947	11	-3.9719	0.26315	0.26602	0.882295	736	0	-3.9719
Ccr1l1	19	0.081943	0.32561	0.952525	948	10	-3.9322	0.048742	0.044745	0.873617	137	0	-3.9322
Siglecf	20	0.081983	0.32546	0.952525	949	12	-4.1984	0.67514	0.60642	0.910668	1878	0	-4.1984
Ednra	20	0.082199	0.32598	0.952525	950	10	-3.9604	0.075299	0.073308	0.879609	222	0	-3.9604
Itgb2	20	0.082322	0.32621	0.952525	951	10	-3.9167	0.48453	0.42352	0.891333	1342	0	-3.9167
Spint2	18	0.082528	0.31674	0.952525	952	11	-4.2581	0.81086	0.76542	0.956944	2287	0	-4.2581
Rnf130	19	0.082787	0.32886	0.952525	953	13	-4.0984	0.56628	0.5101	0.90617	1577	0	-4.0984
Gpr137	18	0.082863	0.3179	0.952525	954	8	-3.5604	0.7587	0.70157	0.935214	2121	0	-3.5604
Csmd2	20	0.082969	0.32764	0.952525	955	12	-4.1631	0.72306	0.66211	0.929375	2019	0	-4.1631
Sgcd	18	0.083095	0.31918	0.952525	956	10	-4.1784	0.29898	0.28036	0.882295	851	0	-4.1784
Pecam1	20	0.083102	0.32811	0.952525	957	11	-4.1735	0.3961	0.35467	0.882295	1132	0	-4.1735
Olfr446	20	0.083385	0.32873	0.952525	958	10	-3.9241	0.59308	0.53007	0.90617	1649	0	-3.9241
