id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Brs3	18	0.21195	0.58176	1.0	1658	7	-3.7455	0.68472	0.62057	0.906861	1903	0	-3.7455
Kcnmb1	20	0.21214	0.5926	1.0	1659	9	-3.6559	0.03947	0.031471	0.66405	118	0	-3.6559
Gpr160	20	0.21217	0.5928	1.0	1660	11	-3.7836	0.063499	0.052354	0.802217	183	0	-3.7836
Nkain2	20	0.21285	0.59333	1.0	1661	12	-3.9953	0.77746	0.71952	0.936424	2184	0	-3.9953
Slc9a2	20	0.21285	0.59333	1.0	1662	12	-3.9946	0.9441	0.92408	0.986556	2675	0	-3.9946
Cdh7	20	0.21285	0.59333	1.0	1663	12	-3.9945	0.92188	0.89341	0.978235	2612	0	-3.9945
Vipr2	19	0.21298	0.59051	1.0	1664	6	-3.4601	0.095946	0.082837	0.813139	276	0	-3.4601
Gm9573	19	0.21302	0.59058	1.0	1665	10	-3.948	0.42644	0.37479	0.866293	1214	0	-3.948
Clec7a	16	0.21328	0.57773	1.0	1666	10	-3.9591	0.70656	0.64531	0.924572	1970	0	-3.9591
Slc34a2	20	0.21362	0.59437	1.0	1667	11	-3.9764	0.00049859	1.7322e-06	0.00055	2	1	-3.9764
Lrp1b	20	0.21366	0.59451	1.0	1668	10	-3.9009	0.16348	0.15709	0.866293	463	0	-3.9009
Aqp2	20	0.21398	0.59488	1.0	1669	11	-4.0357	0.4689	0.40163	0.867081	1313	0	-4.0357
Glrb	19	0.21402	0.59142	1.0	1670	7	-3.5804	0.46629	0.3962	0.867081	1305	0	-3.5804
Olfr510	20	0.21434	0.59539	1.0	1671	11	-4.0319	0.92718	0.90088	0.980843	2626	0	-4.0319
Olfr296-ps1	20	0.21467	0.5961	1.0	1672	8	-3.7387	0.82135	0.77563	0.957151	2303	0	-3.7387
Olfr43	12	0.21473	0.55343	1.0	1673	7	-4.0497	0.43411	0.36998	0.866293	1241	0	-4.0497
Enpp5	20	0.21574	0.59855	1.0	1674	11	-3.9653	0.32919	0.30467	0.866293	947	0	-3.9653
Gabra1	20	0.21642	0.59931	1.0	1675	11	-3.8597	0.89262	0.85851	0.971926	2522	0	-3.8597
Vsig8	20	0.21684	0.59965	1.0	1676	8	-3.4999	0.50401	0.43179	0.873969	1409	0	-3.4999
Ereg	20	0.217	0.59999	1.0	1677	5	-3.4359	0.56849	0.50592	0.896706	1601	0	-3.4359
Olfr220	18	0.21741	0.59007	1.0	1678	8	-3.7554	0.17775	0.17435	0.866293	497	0	-3.7554
Ptch1	20	0.21745	0.60104	1.0	1679	8	-3.5711	0.17033	0.16239	0.866293	485	0	-3.5711
Lrrc24	20	0.21745	0.60104	1.0	1680	12	-4.0108	0.085278	0.074865	0.813139	246	0	-4.0108
Clec9a	18	0.21761	0.59082	1.0	1681	11	-3.9815	0.31108	0.28534	0.866293	875	0	-3.9815
Olfr1453	18	0.21796	0.59172	1.0	1682	9	-3.9352	0.934	0.91348	0.984375	2648	0	-3.9352
Egf	20	0.21799	0.60139	1.0	1683	12	-3.9935	0.67974	0.60581	0.905623	1896	0	-3.9935
Olfr248	20	0.21805	0.60249	1.0	1684	9	-3.7964	0.61285	0.53717	0.899395	1702	0	-3.7964
Pla2r1	20	0.21846	0.60336	1.0	1685	10	-3.9545	0.31749	0.29769	0.866293	896	0	-3.9545
Zfyve27	20	0.2189	0.6038	1.0	1686	11	-3.9058	0.13308	0.13653	0.866293	370	0	-3.9058
Cd84	18	0.21963	0.59303	1.0	1687	7	-3.585	0.28068	0.26417	0.866293	796	0	-3.585
Gdpd2	18	0.22002	0.59388	1.0	1688	11	-4.0067	0.72231	0.65176	0.924572	2013	0	-4.0067
Pcdhgb7	18	0.22009	0.59405	1.0	1689	7	-3.5917	0.83473	0.79138	0.958809	2353	0	-3.5917
Plxnb3	20	0.22033	0.60484	1.0	1690	12	-3.9957	0.3756	0.33858	0.866293	1068	0	-3.9957
Mfsd11	20	0.22096	0.60579	1.0	1691	9	-3.6047	0.1393	0.14346	0.866293	394	0	-3.6047
Zan	20	0.22118	0.60587	1.0	1692	11	-4.0296	0.99175	0.98675	0.995575	2830	0	-4.0296
Fas	20	0.22118	0.60587	1.0	1693	10	-3.838	0.49445	0.42222	0.86939	1378	0	-3.838
P2ry13	20	0.22172	0.60643	1.0	1694	11	-4.0123	0.39445	0.34661	0.866293	1133	0	-4.0123
Olfr1212	20	0.22172	0.60643	1.0	1695	9	-3.7503	0.55728	0.49953	0.896706	1551	0	-3.7503
Bmpr2	20	0.22185	0.6067	1.0	1696	7	-3.4206	0.45319	0.39543	0.867081	1281	0	-3.4206
Olfr1219	19	0.22186	0.60103	1.0	1697	9	-3.7551	0.17907	0.17867	0.866293	520	0	-3.7551
Cntn3	20	0.22195	0.60693	1.0	1698	8	-3.6703	0.88626	0.84954	0.970034	2497	0	-3.6703
Olfr1080	15	0.22222	0.57947	1.0	1699	7	-3.843	0.96239	0.94653	0.990891	2728	0	-3.843
