,sgRNA,gene,z_scored_sgRNA_lfc
17971,Vienna_GAD1_2-Vienna_GAD1_5,GAD1,-0.12410202698180582
17972,Vienna_GAD1_3-Vienna_GAD1_6,GAD1,-3.9468990309066307
17973,Vienna_GAD2_1-Vienna_GAD2_4,GAD2,-2.6235429691618224
17974,Vienna_GAD2_2-Vienna_GAD2_5,GAD2,-1.9963721405421937
17975,Vienna_GAD2_3-Vienna_GAD2_6,GAD2,-3.2298609184860165
17976,Vienna_GADD45A_1-Vienna_GADD45A_4,GADD45A,-1.0699499160731765
17977,Vienna_GADD45A_2-Vienna_GADD45A_5,GADD45A,-0.55857910914535
17978,Vienna_GADD45A_3-Vienna_GADD45A_6,GADD45A,-0.8325173186645856
17979,Vienna_GADD45B_1-Vienna_GADD45B_4,GADD45B,-1.2740424431453112
17980,Vienna_GADD45B_2-Vienna_GADD45B_5,GADD45B,0.5508012753119911
17981,Vienna_GADD45B_3-Vienna_GADD45B_6,GADD45B,-1.0644919442188785
17982,Vienna_GADD45G_1-Vienna_GADD45G_4,GADD45G,0.38609949866394583
17983,Vienna_GADD45G_2-Vienna_GADD45G_5,GADD45G,-0.43988272917702015
17984,Vienna_GADD45G_3-Vienna_GADD45G_6,GADD45G,-3.497045135212214
17985,Vienna_GADD45GIP1_1-Vienna_GADD45GIP1_4,GADD45GIP1,-6.5732659928272605
17986,Vienna_GADD45GIP1_2-Vienna_GADD45GIP1_5,GADD45GIP1,-8.484851801678365
17987,Vienna_GADD45GIP1_3-Vienna_GADD45GIP1_6,GADD45GIP1,-8.166962876874289
17988,Vienna_GADL1_1-Vienna_GADL1_4,GADL1,0.23775876319132913
17989,Vienna_GADL1_2-Vienna_GADL1_5,GADL1,-1.3160559017963596
17990,Vienna_GADL1_3-Vienna_GADL1_6,GADL1,0.32726273124438926
17991,Vienna_GAGE1_2-Vienna_GAGE1_5,GAGE1,-5.488064255600546
17992,Vienna_GAGE1_3-Vienna_GAGE1_6,GAGE1,-2.4955720817940104
17993,Vienna_GAGE10_1-Vienna_GAGE10_4,GAGE10,-2.064081596889214
17994,Vienna_GAGE10_2-Vienna_GAGE10_5,GAGE10,-2.2273551238821545
17995,Vienna_GAGE10_3-Vienna_GAGE10_6,GAGE10,0.16767122516051935
17996,Vienna_GAGE2C_1-Vienna_GAGE2C_4,GAGE10,-4.441300174202169
17997,Vienna_GAGE2C_2-Vienna_GAGE2C_5,GAGE1,-4.360091025331374
17998,Vienna_GAGE2C_3-Vienna_GAGE2C_6,GAGE1,-3.285316036977147
17999,Vienna_GAGE8_1-Vienna_GAGE8_4,GAGE1,-3.462152827488697
18000,Vienna_GAGE8_2-Vienna_GAGE8_5,GAGE8,-5.709846938430161
18001,Vienna_GAGE8_3-Vienna_GAGE8_6,GAGE1,-2.4955720817940104
18002,Vienna_GAK_2-Vienna_GAK_5,GAK,-3.893412073520686
18003,Vienna_GAK_3-Vienna_GAK_6,GAK,-7.427389097350999
18004,Vienna_GAL_1-Vienna_GAL_4,GAL,-0.7525351440168009
18005,Vienna_GAL_2-Vienna_GAL_5,GAL,-0.8319467339800962
18006,Vienna_GAL_3-Vienna_GAL_6,GAL,-1.2693778042653683
18007,Vienna_GAL3ST1_1-Vienna_GAL3ST1_4,GAL3ST1,-1.1893107287907652
18008,Vienna_GAL3ST1_2-Vienna_GAL3ST1_5,GAL3ST1,-1.8786098774714257
18009,Vienna_GAL3ST1_3-Vienna_GAL3ST1_6,GAL3ST1,-1.7465958599640192
18010,Vienna_GAL3ST2_1-Vienna_GAL3ST2_4,GAL3ST2,-2.8390193983756205
18011,Vienna_GAL3ST2_2-Vienna_GAL3ST2_5,GAL3ST2,-0.6169471137333277
18012,Vienna_GAL3ST2_3-Vienna_GAL3ST2_6,GAL3ST2,-2.2876696089086987
18013,Vienna_GAL3ST3_1-Vienna_GAL3ST3_4,GAL3ST3,-0.6510387989782419
18014,Vienna_GAL3ST3_2-Vienna_GAL3ST3_5,GAL3ST3,-2.3102110794022415
18015,Vienna_GAL3ST3_3-Vienna_GAL3ST3_6,GAL3ST3,-1.0323571604445558
18016,Vienna_GAL3ST4_1-Vienna_GAL3ST4_4,GAL3ST4,-0.27730865282619216
18017,Vienna_GAL3ST4_2-Vienna_GAL3ST4_5,GAL3ST4,-2.6402463073835762
18018,Vienna_GAL3ST4_3-Vienna_GAL3ST4_6,GAL3ST4,-0.6084188511090853
18019,Vienna_GALC_1-Vienna_GALC_4,GALC,0.11188818801911218
18020,Vienna_GALC_2-Vienna_GALC_5,GALC,-3.086090802271398
18021,Vienna_GALC_3-Vienna_GALC_6,GALC,-0.8183716415182263
18022,Vienna_GALE_1-Vienna_GALE_4,GALE,-1.9814745417860313
18023,Vienna_GALE_2-Vienna_GALE_5,GALE,-2.757580035923758
18024,Vienna_GALE_3-Vienna_GALE_6,GALE,-4.672877207106283
18025,Vienna_GALK1_1-Vienna_GALK1_4,GALK1,-0.08678113463027477
