sgRNA	gene	vienna_v1_single_top3	TECHDEV0012_Vienna_01_01_17	TECHDEV0012_Vienna_01_01_16
Vienna-ABHD17A-3	ABHD17A	127	18	6
Vienna-ABHD17B-1	ABHD17B	96	707	568
Vienna-ABHD17B-2	ABHD17B	97	342	619
Vienna-ABHD17B-3	ABHD17B	36	393	328
Vienna-ABHD17C-1	ABHD17C	69	771	542
Vienna-ABHD17C-2	ABHD17C	123	638	670
Vienna-ABHD17C-3	ABHD17C	85	395	354
Vienna-ABHD18-1	ABHD18	133	349	272
Vienna-ABHD18-2	ABHD18	107	384	266
Vienna-ABHD18-3	ABHD18	65	155	237
Vienna-ABHD2-1	ABHD2	13	121	82
Vienna-ABHD2-2	ABHD2	95	456	446
Vienna-ABHD2-3	ABHD2	64	733	501
Vienna-ABHD3-1	ABHD3	105	620	479
Vienna-ABHD3-2	ABHD3	76	311	305
Vienna-ABHD3-3	ABHD3	34	273	206
Vienna-ABHD4-1	ABHD4	59	767	505
Vienna-ABHD4-2	ABHD4	77	293	341
Vienna-ABHD4-3	ABHD4	104	1094	804
Vienna-ABHD5-1	ABHD5	24	308	266
Vienna-ABHD5-2	ABHD5	76	472	491
Vienna-ABHD5-3	ABHD5	85	197	293
Vienna-ABHD6-1	ABHD6	53	562	397
Vienna-ABHD6-2	ABHD6	97	1201	1091
Vienna-ABHD6-3	ABHD6	66	701	826
Vienna-ABHD8-1	ABHD8	112	400	204
Vienna-ABHD8-2	ABHD8	54	16	6
Vienna-ABHD8-3	ABHD8	53	228	442
Vienna-ABI1-1	ABI1	94	310	173
Vienna-ABI1-2	ABI1	44	61	43
Vienna-ABI1-3	ABI1	66	277	340
Vienna-ABI2-1	ABI2	84	100	221
Vienna-ABI2-2	ABI2	24	208	398
Vienna-ABI2-3	ABI2	88	752	566
Vienna-ABI3-1	ABI3	91	731	435
Vienna-ABI3-2	ABI3	106	192	188
Vienna-ABI3-3	ABI3	130	305	384
Vienna-ABI3BP-1	ABI3BP	107	379	329
Vienna-ABI3BP-2	ABI3BP	52	434	443
Vienna-ABI3BP-3	ABI3BP	64	419	399
Vienna-ABL1-1	ABL1	73	278	309
Vienna-ABL1-2	ABL1	170	1061	863
Vienna-ABL1-3	ABL1	82	17	28
Vienna-ABL2-1	ABL2	91	768	671
Vienna-ABL2-2	ABL2	54	299	390
Vienna-ABL2-3	ABL2	41	118	105
Vienna-ABLIM1-1	ABLIM1	208	1298	1113
Vienna-ABLIM1-2	ABLIM1	69	446	239
Vienna-ABLIM1-3	ABLIM1	65	446	541
Vienna-ABLIM2-1	ABLIM2	52	0	0
Vienna-ABLIM2-2	ABLIM2	90	602	276
Vienna-ABLIM2-3	ABLIM2	164	875	444
Vienna-ABLIM3-1	ABLIM3	101	550	361
Vienna-ABLIM3-2	ABLIM3	76	671	783
Vienna-ABLIM3-3	ABLIM3	140	530	351
Vienna-ABO-1	ABO	76	98	166
Vienna-ABO-2	ABO	128	335	132
Vienna-ABO-3	ABO	118	640	725
Vienna-ABR-1	ABR	53	8	20
Vienna-ABR-2	ABR	97	271	254
Vienna-ABR-3	ABR	80	94	74
Vienna-ABRA-1	ABRA	58	594	274
Vienna-ABRA-2	ABRA	161	513	494
Vienna-ABRA-3	ABRA	62	268	220
Vienna-ABRACL-1	ABRACL	27	371	171
Vienna-ABRACL-2	ABRACL	35	140	187
Vienna-ABRACL-3	ABRACL	76	602	373
Vienna-ABT1-1	ABT1	53	116	76
Vienna-ABT1-2	ABT1	132	2	0
Vienna-ABT1-3	ABT1	185	5	7
Vienna-ABTB1-1	ABTB1	63	340	316
Vienna-ABTB1-2	ABTB1	47	344	287
Vienna-ABTB1-3	ABTB1	97	716	508
Vienna-ABTB2-1	ABTB2	158	554	448
Vienna-ABTB2-2	ABTB2	64	445	217
Vienna-ABTB2-3	ABTB2	87	432	404
Vienna-ACAA1-1	ACAA1	114	564	673
Vienna-ACAA1-2	ACAA1	61	431	277
Vienna-ACAA1-3	ACAA1	99	240	167
Vienna-ACAA2-1	ACAA2	78	701	731
Vienna-ACAA2-2	ACAA2	57	308	243
Vienna-ACAA2-3	ACAA2	65	913	861
Vienna-ACACA-1	ACACA	69	279	737
Vienna-ACACA-2	ACACA	85	265	141
Vienna-ACACA-3	ACACA	61	131	121
Vienna-ACACB-1	ACACB	148	977	787
Vienna-ACACB-2	ACACB	102	191	180
Vienna-ACACB-3	ACACB	100	809	730
Vienna-ACAD10-1	ACAD10	100	790	698
Vienna-ACAD10-2	ACAD10	17	8	21
Vienna-ACAD10-3	ACAD10	48	504	256
Vienna-ACAD11-1	ACAD11	80	170	111
Vienna-ACAD11-2	ACAD11	99	646	886
Vienna-ACAD11-3	ACAD11	74	403	417
Vienna-ACAD8-1	ACAD8	79	520	298
Vienna-ACAD8-2	ACAD8	56	208	516
Vienna-ACAD8-3	ACAD8	79	530	416
Vienna-ACAD9-1	ACAD9	97	34	23
Vienna-ACAD9-2	ACAD9	100	25	30
Vienna-ACAD9-3	ACAD9	45	14	10
Vienna-ACADL-1	ACADL	58	269	53
Vienna-ACADL-2	ACADL	73	229	242
Vienna-ACADL-3	ACADL	90	569	245
Vienna-ACADM-1	ACADM	86	568	378
Vienna-ACADM-2	ACADM	45	301	208
Vienna-ACADM-3	ACADM	43	535	286
Vienna-ACADS-1	ACADS	59	428	329
Vienna-ACADS-2	ACADS	91	262	178
Vienna-ACADS-3	ACADS	133	578	345
Vienna-ACADSB-1	ACADSB	73	278	501
Vienna-ACADSB-2	ACADSB	59	394	278
Vienna-ACADSB-3	ACADSB	69	282	190
Vienna-ACADVL-1	ACADVL	142	1271	890
Vienna-ACADVL-2	ACADVL	89	740	515
Vienna-ACADVL-3	ACADVL	122	761	870
Vienna-ACAN-1	ACAN	108	1038	603
Vienna-ACAN-2	ACAN	109	515	358
Vienna-ACAN-3	ACAN	83	958	1022
Vienna-ACAP1-1	ACAP1	82	118	112
Vienna-ACAP1-2	ACAP1	133	284	437
Vienna-ACAP1-3	ACAP1	68	365	324
Vienna-ACAP2-1	ACAP2	78	881	662
Vienna-ACAP2-2	ACAP2	58	542	406
Vienna-ACAP2-3	ACAP2	42	373	648
Vienna-ACAP3-1	ACAP3	90	518	582
Vienna-ACAP3-2	ACAP3	131	691	493
Vienna-ACAP3-3	ACAP3	107	123	180
Vienna-ACAT1-1	ACAT1	51	176	259
Vienna-ACAT1-2	ACAT1	91	427	300
Vienna-ACAT1-3	ACAT1	52	228	158
Vienna-ACAT2-1	ACAT2	67	238	208
Vienna-ACAT2-2	ACAT2	51	521	332
Vienna-ACAT2-3	ACAT2	97	581	539
Vienna-ACBD3-1	ACBD3	44	111	59
Vienna-ACBD3-2	ACBD3	82	687	644
Vienna-ACBD3-3	ACBD3	103	862	621
Vienna-ACBD4-1	ACBD4	59	368	207
Vienna-ACBD4-2	ACBD4	88	218	437
Vienna-ACBD4-3	ACBD4	91	401	703
Vienna-ACBD5-1	ACBD5	63	147	257
Vienna-ACBD5-2	ACBD5	130	509	429
Vienna-ACBD5-3	ACBD5	64	0	20
Vienna-ACBD6-1	ACBD6	83	326	223
Vienna-ACBD6-2	ACBD6	35	77	62
Vienna-ACBD6-3	ACBD6	124	762	743
Vienna-ACBD7-1	ACBD7	49	645	520
Vienna-ACBD7-2	ACBD7	69	198	66
Vienna-ACBD7-3	ACBD7	114	1705	971
Vienna-ACCS-1	ACCS	116	704	803
Vienna-ACCS-2	ACCS	69	283	195
Vienna-ACCS-3	ACCS	38	118	230
Vienna-ACCSL-1	ACCSL	52	204	151
Vienna-ACCSL-2	ACCSL	254	597	565
Vienna-ACCSL-3	ACCSL	90	356	308
Vienna-ACD-1	ACD	251	55	57
Vienna-ACD-2	ACD	111	0	2
Vienna-ACD-3	ACD	180	686	654
Vienna-ACE-1	ACE	76	437	409
Vienna-ACE-2	ACE	96	633	327
Vienna-ACE-3	ACE	98	327	720
Vienna-ACE2-1	ACE2	58	516	312
Vienna-ACE2-2	ACE2	112	356	483
Vienna-ACE2-3	ACE2	60	375	287
Vienna-ACER1-1	ACER1	155	1224	1515
Vienna-ACER1-2	ACER1	97	993	823
Vienna-ACER1-3	ACER1	26	1604	228
Vienna-ACER2-1	ACER2	75	946	788
Vienna-ACER2-2	ACER2	62	455	437
Vienna-ACER2-3	ACER2	38	137	113
Vienna-ACER3-1	ACER3	34	165	231
Vienna-ACER3-2	ACER3	73	183	194
Vienna-ACER3-3	ACER3	77	465	460
Vienna-ACHE-1	ACHE	47	277	307
Vienna-ACHE-2	ACHE	65	324	291
Vienna-ACHE-3	ACHE	81	416	642
