Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
CACNA1G,Jacquere A375,3,-1.1733059827748058,0.12423236650396609,0.28375513730354335
SLC41A1,Jacquere A375,3,-1.0779967902479513,0.14092522506425575,0.3014870686132357
RASA1,Jacquere A375,3,-1.094322745178389,0.13792944946284794,0.2986857566913866
RARS2,Jacquere A375,2,-6.85823487922191,2.310977750048014e-25,3.678667432728342e-24
SLC41A2,Jacquere A375,3,-0.7977229364382304,0.2018395626605675,0.35740913628428456
RARS1,Jacquere A375,3,-7.012404625406727,4.746560514030168e-28,7.949271313907351e-27
CACNA1H,Jacquere A375,4,-0.12907697161571485,0.4230576948337939,0.4723517035641417
RARRES2,Jacquere A375,3,-1.370289770142604,0.09547216553008042,0.24668655082306928
SLC41A3,Jacquere A375,3,-1.9598831834446215,0.04298666270357795,0.158274162052268
RARRES1,Jacquere A375,3,0.16809141957956228,0.4545870510774471,0.4846690099895664
RARG,Jacquere A375,3,0.12824849525220597,0.47080597009786224,0.4902389157421798
CACNA1I,Jacquere A375,3,-1.0600868643195736,0.14427833935908516,0.3047808505858816
BAALC,Jacquere A375,3,1.4098365937279662,0.06546383199632601,0.20214990739491182
RARB,Jacquere A375,3,0.7871082956512017,0.22434105013742675,0.37482772530939695
SLC43A1,Jacquere A375,3,0.01607270840897675,0.4829069676728963,0.49396466192880767
RARA,Jacquere A375,3,-0.6393300345389468,0.24440227563512915,0.3874754846609239
RAPSN,Jacquere A375,3,-0.09775366008796206,0.43584654895851505,0.4778815385964893
CACNA1S,Jacquere A375,3,-1.0153130605767666,0.15297196932214965,0.31306531993877385
SLC43A2,Jacquere A375,3,-0.05722633634402051,0.4525312093263626,0.48355368648124114
RAPGEFL1,Jacquere A375,3,-0.31644534778602407,0.3500521386939426,0.4441080815157043
RAD51C,Jacquere A375,3,-7.314062515810122,8.85216728080103e-34,1.6262695890157322e-32
RAD51B,Jacquere A375,3,-5.724397295664274,1.4218604530678683e-10,1.6968760941308827e-09
CADM2,Jacquere A375,3,-2.2585027082148126,0.025463815105820863,0.11136011541676887
RAB39B,Jacquere A375,3,-1.7213224494568982,0.06031952511893728,0.19293337405769223
CALM2P1,Jacquere A375,1,-2.6317314492280635,0.012117323762583985,0.06401355766855671
SLC6A18,Jacquere A375,3,-0.9049253674255587,0.17636954446985126,0.3360920847872271
RAB39A,Jacquere A375,3,1.3124077794508908,0.08249425807024956,0.2290493810126404
B3GNT5,Jacquere A375,3,1.6235135383960806,0.03820044682903016,0.14694208306836176
RAB38,Jacquere A375,3,-0.05025706371392818,0.45541181819861665,0.4850686024713022
CALM2P4,Jacquere A375,1,-2.6317314492280635,0.012117323762583985,0.06401355766855671
